x,y,z,avg_af,avg_relV,H_index,var_af,drift_flux,avg_dPdy
2.40000000e-02,9.60000000e-03,0.00000000e+00,9.91962788e-01,3.04159052e-01,6.48936700e-01,1.75986160e-04,-1.54178587e-04,-1.12476721e+01
2.88000000e-02,9.60000000e-03,0.00000000e+00,9.92334156e-01,2.69430612e-01,6.14048397e-01,1.67722115e-04,-1.88308478e-04,3.16952556e+00
3.36000000e-02,9.60000000e-03,0.00000000e+00,9.93344044e-01,3.53775703e-01,3.72560246e-01,1.57996907e-04,1.39808878e-04,3.24028975e+01
0.00000000e+00,1.44000000e-02,0.00000000e+00,9.92145277e-01,5.63113644e-01,4.56901951e-01,1.81744991e-04,8.89612796e-05,1.32492051e+01
4.80000000e-03,1.44000000e-02,0.00000000e+00,9.89352053e-01,3.75248728e-01,7.57570114e-01,2.31634452e-04,7.82519199e-05,-3.29413226e+00
9.60000000e-03,1.44000000e-02,0.00000000e+00,9.91192980e-01,3.70755144e-01,7.67227408e-01,2.05545920e-04,-8.55004113e-06,7.16042978e+00
1.44000000e-02,1.44000000e-02,0.00000000e+00,9.96975008e-01,6.89138336e-01,6.59582745e-01,6.37011416e-05,4.72316656e-05,4.97476877e+00
1.92000000e-02,1.44000000e-02,0.00000000e+00,9.91936035e-01,4.49762368e-01,4.87964859e-01,1.78222694e-04,2.46388213e-04,-1.05414984e+01
2.40000000e-02,1.44000000e-02,0.00000000e+00,9.90742005e-01,2.74968754e-01,4.25413944e-01,2.24024758e-04,-1.92527668e-04,1.64923343e+01
2.88000000e-02,1.44000000e-02,0.00000000e+00,9.93016631e-01,3.05794283e-01,5.83645330e-01,1.47940431e-04,-1.83321481e-04,3.36386322e+01
3.36000000e-02,1.44000000e-02,0.00000000e+00,9.92395084e-01,3.54030844e-01,4.95462465e-01,1.69542015e-04,-1.38058389e-05,1.87099648e+01
0.00000000e+00,1.92000000e-02,0.00000000e+00,9.93561028e-01,5.95034852e-01,6.24642696e-01,1.46005533e-04,-1.55107528e-05,1.52838470e+00
4.80000000e-03,1.92000000e-02,0.00000000e+00,9.91444239e-01,4.85855623e-01,6.83371846e-01,1.87731259e-04,1.73215924e-04,2.86320370e+00
9.60000000e-03,1.92000000e-02,0.00000000e+00,9.87614705e-01,3.19235183e-01,5.78734948e-01,3.30368265e-04,-1.77083287e-04,-9.94725459e+00
1.44000000e-02,1.92000000e-02,0.00000000e+00,9.96137041e-01,7.34584316e-01,6.34807623e-01,7.99005467e-05,4.04560742e-05,9.60449580e+00
1.92000000e-02,1.92000000e-02,0.00000000e+00,9.93608602e-01,4.93673895e-01,3.25279786e-01,1.64306447e-04,3.39688129e-04,2.40490772e+01
2.40000000e-02,1.92000000e-02,0.00000000e+00,9.91951510e-01,2.53943694e-01,6.63934921e-01,1.68221487e-04,5.03088519e-05,1.13037313e+01
2.88000000e-02,1.92000000e-02,0.00000000e+00,9.92986478e-01,3.63868536e-01,5.54224910e-01,1.56970522e-04,-8.45582565e-05,6.05798386e+01
3.36000000e-02,1.92000000e-02,0.00000000e+00,9.93182182e-01,4.16255357e-01,4.78693155e-01,1.47430532e-04,-1.29433494e-04,4.28466833e+01
0.00000000e+00,2.40000000e-02,0.00000000e+00,9.95382028e-01,8.02297825e-01,6.44793137e-01,1.01272305e-04,-7.63465047e-05,-4.64311830e+01
4.80000000e-03,2.40000000e-02,0.00000000e+00,9.90727407e-01,4.84896000e-01,7.11365003e-01,1.95057257e-04,-9.93430521e-06,-1.90217532e+01
9.60000000e-03,2.40000000e-02,0.00000000e+00,9.87443415e-01,2.51700541e-01,7.10445493e-01,2.89734008e-04,-2.14776103e-05,1.17559855e+01
